state,x,y
Andhra Pradesh,-87.0,-211.0
Arunachal Pradesh,278.0,122.0
Assam,239.0,83.0
Bihar,70.0,71.0
Chhattisgarh,-25.0,-60.0
Delhi,-132.0,147.0
Goa,-209.0,-212.0
Gujarat,-266.0,-6.0
Haryana,-100.0,196.0
Himachal Pradesh,-130.0,242.0
Jharkhand,63.0,3.0
Kashmir,-156.0,319.0
Karnataka,-181.0,-237.0
Kerala,-152.0,-338.0
Madhya Pradesh,-129.0,-0.0
Maharashtra,-195.0,-108.0
Manipur,284.0,36.0
Meghalaya,213.0,59.0
Mizoram,259.0,-3.0
Nagaland,303.0,74.0
Odisha,39.0,-83.0
Punjab,-171.0,207.0
Rajasthan,-229.0,94.0
Sikkim,151.0,115.0
Tamil Nadu,-101.0,-324.0
Telangana,-94.0,-152.0
Tripura,234.0,11.0
Uttar Pradesh,-77.0,118.0
Uttarakhand,-100.0,196.0
West Bengal,137.0,-20.0